Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Season,Month,Year,Month_Name,Quarter
ORD-1021,2022-05-04,2022-05-07,Second Class,CUST-9288,Customer_136,Corporate,South,South_State_3,Clothing,Shoes,Formal Trousers,3,41.86,0.0,125.58,53.45,72.13,Spring,5,2022,May,Q2
ORD-1022,2022-12-16,2022-12-17,First Class,CUST-2697,Customer_481,Corporate,West,West_State_3,Furniture,Sofas,Bookshelf,18,677.65,0.3,8538.39,3438.73,5099.66,Winter,12,2022,December,Q4
ORD-1023,2022-06-26,2022-06-27,First Class,CUST-9280,Customer_251,Home Office,North,North_State_5,Electronics,Tablets,iPad Air,7,1147.02,0.05,7627.68,4886.47,2741.21,Summer,6,2022,June,Q2
ORD-1024,2021-04-15,2021-04-16,Same Day,CUST-8007,Customer_288,Corporate,East,East_State_1,Clothing,Shirts,Running Shoes,5,167.42,0.1,753.39,343.96,409.43,Spring,4,2021,April,Q2
ORD-1025,2021-08-18,2021-08-19,First Class,CUST-1653,Customer_461,Home Office,North,North_State_6,Furniture,Chairs,Conference Table,18,261.07,0.0,4699.26,1948.5,2750.76,Summer,8,2021,August,Q3
ORD-1026,2022-03-07,2022-03-13,Second Class,CUST-3662,Customer_500,Home Office,North,North_State_3,Furniture,Chairs,Ergonomic Chair,14,880.38,0.0,12325.32,8923.75,3401.57,Spring,3,2022,March,Q1
ORD-1027,2023-04-25,2023-04-26,Standard Class,CUST-8711,Customer_114,Home Office,South,South_State_4,Furniture,Sofas,Ergonomic Chair,8,350.1,0.0,2800.8,1495.32,1305.48,Spring,4,2023,April,Q2
ORD-1028,2023-08-01,2023-08-04,First Class,CUST-6753,Customer_329,Consumer,West,West_State_9,Office Supplies,Paper,File Folders,7,44.88,0.1,282.74,198.63,84.11,Summer,8,2023,August,Q3
ORD-1029,2023-03-30,2023-04-05,Same Day,CUST-6663,Customer_374,Corporate,East,East_State_6,Sports,Equipment,Running Shoes Pro,6,117.09,0.1,632.29,261.38,370.91,Spring,3,2023,March,Q1
ORD-1030,2023-06-13,2023-06-18,Second Class,CUST-6967,Customer_221,Consumer,Central,Central_State_2,Sports,Accessories,Yoga Mat,9,36.66,0.2,263.95,105.74,158.21,Summer,6,2023,June,Q2
ORD-1031,2024-09-22,2024-09-25,First Class,CUST-3085,Customer_99,Home Office,North,North_State_7,Sports,Equipment,Running Shoes Pro,10,130.03,0.15,1105.25,597.76,507.49,Autumn,9,2024,September,Q3
ORD-1032,2024-09-23,2024-09-27,Same Day,CUST-6279,Customer_239,Corporate,North,North_State_8,Furniture,Desks,Conference Table,18,775.29,0.1,12559.7,6285.12,6274.58,Autumn,9,2024,September,Q3
ORD-1033,2023-06-25,2023-07-01,Second Class,CUST-6085,Customer_116,Home Office,West,West_State_4,Furniture,Shelves,Conference Table,3,362.84,0.15,925.24,400.34,524.9,Summer,6,2023,June,Q2
ORD-1034,2021-10-29,2021-10-30,Same Day,CUST-9099,Customer_205,Consumer,Central,Central_State_4,Electronics,Accessories,Samsung Galaxy,15,768.05,0.05,10944.71,7129.61,3815.1,Autumn,10,2021,October,Q4
ORD-1035,2021-10-30,2021-11-05,Standard Class,CUST-8478,Customer_69,Consumer,West,West_State_8,Electronics,Accessories,iPhone 15,17,830.69,0.3,9885.21,4816.27,5068.94,Autumn,10,2021,October,Q4
ORD-1036,2024-09-29,2024-10-04,Second Class,CUST-8777,Customer_231,Home Office,South,South_State_5,Sports,Clothing,Protein Powder,17,94.01,0.3,1118.72,622.09,496.63,Autumn,9,2024,September,Q3
ORD-1037,2022-05-22,2022-05-29,Second Class,CUST-5451,Customer_172,Home Office,South,South_State_6,Office Supplies,Notebooks,File Folders,8,35.59,0.0,284.72,184.99,99.73,Spring,5,2022,May,Q2
ORD-1038,2024-01-12,2024-01-13,First Class,CUST-9890,Customer_239,Home Office,South,South_State_7,Furniture,Tables,Standing Desk,5,679.81,0.0,3399.05,1853.17,1545.88,Winter,1,2024,January,Q1
ORD-1039,2021-05-08,2021-05-10,Same Day,CUST-7865,Customer_276,Home Office,East,East_State_9,Clothing,Accessories,Winter Jacket,13,135.4,0.15,1496.17,754.84,741.33,Spring,5,2021,May,Q2
ORD-1040,2024-05-20,2024-05-22,Same Day,CUST-3091,Customer_319,Corporate,South,South_State_9,Clothing,Shoes,Formal Trousers,1,117.77,0.2,94.22,61.57,32.65,Spring,5,2024,May,Q2
ORD-1041,2021-02-25,2021-03-01,First Class,CUST-7211,Customer_168,Home Office,East,East_State_4,Sports,Equipment,Protein Powder,14,50.35,0.25,528.67,245.09,283.58,Winter,2,2021,February,Q1
ORD-1042,2023-07-21,2023-07-24,Standard Class,CUST-6733,Customer_115,Corporate,North,North_State_2,Office Supplies,Staplers,File Folders,9,77.62,0.25,523.94,213.13,310.81,Summer,7,2023,July,Q3
ORD-1043,2024-08-27,2024-08-28,Second Class,CUST-8619,Customer_359,Home Office,East,East_State_5,Electronics,Phones,Samsung Galaxy,5,548.18,0.25,2055.67,1303.93,751.74,Summer,8,2024,August,Q3
ORD-1044,2023-01-26,2023-01-28,Same Day,CUST-7498,Customer_483,Corporate,West,West_State_4,Sports,Equipment,Protein Powder,4,116.8,0.1,420.48,252.93,167.55,Winter,1,2023,January,Q1
ORD-1045,2021-06-05,2021-06-10,First Class,CUST-2129,Customer_260,Consumer,Central,Central_State_6,Furniture,Sofas,Executive Chair,19,736.98,0.15,11902.23,6980.19,4922.04,Summer,6,2021,June,Q2
ORD-1046,2021-01-26,2021-02-02,First Class,CUST-9817,Customer_397,Corporate,South,South_State_8,Clothing,Shirts,Winter Jacket,15,181.46,0.2,2177.52,1005.25,1172.27,Winter,1,2021,January,Q1
ORD-1047,2023-08-11,2023-08-15,Same Day,CUST-6511,Customer_15,Consumer,West,West_State_8,Sports,Clothing,Running Shoes Pro,9,162.24,0.05,1387.15,919.22,467.93,Summer,8,2023,August,Q3
ORD-1048,2022-10-28,2022-10-30,Second Class,CUST-2402,Customer_124,Corporate,North,North_State_7,Clothing,Shoes,Formal Trousers,9,216.06,0.1,1750.09,1040.48,709.61,Autumn,10,2022,October,Q4
ORD-1049,2023-09-28,2023-10-03,Second Class,CUST-6016,Customer_340,Corporate,South,South_State_10,Furniture,Shelves,Ergonomic Chair,1,219.79,0.05,208.8,113.07,95.73,Autumn,9,2023,September,Q3
ORD-1050,2023-01-26,2023-01-30,First Class,CUST-4777,Customer_62,Home Office,South,South_State_4,Sports,Clothing,Protein Powder,18,79.62,0.25,1074.87,531.87,543.0,Winter,1,2023,January,Q1
ORD-1051,2022-10-09,2022-10-10,Standard Class,CUST-4180,Customer_152,Consumer,West,West_State_4,Sports,Shoes,Resistance Bands,16,71.47,0.3,800.46,487.38,313.08,Autumn,10,2022,October,Q4
ORD-1052,2023-01-10,2023-01-12,Second Class,CUST-9042,Customer_53,Corporate,West,West_State_1,Office Supplies,Notebooks,A4 Paper Pack,2,88.07,0.3,123.3,61.93,61.37,Winter,1,2023,January,Q1
ORD-1053,2024-03-21,2024-03-24,Standard Class,CUST-7565,Customer_252,Consumer,North,North_State_2,Clothing,Jackets,Winter Jacket,2,90.5,0.25,135.75,59.72,76.03,Spring,3,2024,March,Q1
ORD-1054,2024-03-27,2024-04-02,Same Day,CUST-4697,Customer_398,Corporate,Central,Central_State_9,Electronics,Phones,iPad Air,3,1492.4,0.0,4477.2,2665.39,1811.81,Spring,3,2024,March,Q1
ORD-1055,2023-02-19,2023-02-23,Second Class,CUST-4457,Customer_136,Corporate,South,South_State_2,Clothing,Accessories,Running Shoes,19,164.21,0.0,3119.99,2282.76,837.23,Winter,2,2023,February,Q1
ORD-1056,2021-11-18,2021-11-20,Second Class,CUST-5720,Customer_362,Consumer,West,West_State_5,Furniture,Chairs,Conference Table,14,487.88,0.25,5122.74,2571.31,2551.43,Autumn,11,2021,November,Q4
ORD-1057,2024-12-10,2024-12-17,Second Class,CUST-3441,Customer_466,Home Office,North,North_State_5,Clothing,Trousers,Business Shirt,19,172.24,0.05,3108.93,1706.18,1402.75,Winter,12,2024,December,Q4
ORD-1058,2021-10-19,2021-10-20,First Class,CUST-7594,Customer_483,Home Office,Central,Central_State_5,Electronics,Tablets,iPad Air,19,1401.49,0.25,19971.23,8857.72,11113.51,Autumn,10,2021,October,Q4
ORD-1059,2023-10-22,2023-10-27,Second Class,CUST-1339,Customer_392,Consumer,Central,Central_State_5,Clothing,Shirts,Winter Jacket,14,186.91,0.1,2355.07,963.35,1391.72,Autumn,10,2023,October,Q4
ORD-1060,2024-03-26,2024-03-27,Same Day,CUST-2494,Customer_241,Corporate,South,South_State_6,Furniture,Desks,Filing Cabinet,6,897.71,0.2,4309.01,2680.96,1628.05,Spring,3,2024,March,Q1
ORD-1061,2023-04-17,2023-04-20,Same Day,CUST-1601,Customer_233,Corporate,West,West_State_2,Office Supplies,Pens,Highlighters,14,67.03,0.1,844.58,533.69,310.89,Spring,4,2023,April,Q2
ORD-1062,2022-10-07,2022-10-10,First Class,CUST-9167,Customer_321,Consumer,Central,Central_State_8,Office Supplies,Staplers,A4 Paper Pack,18,49.65,0.0,893.7,416.15,477.55,Autumn,10,2022,October,Q4
ORD-1063,2021-04-16,2021-04-18,First Class,CUST-1224,Customer_283,Corporate,North,North_State_7,Office Supplies,Paper,Notebooks Bundle,16,24.11,0.05,366.47,237.63,128.84,Spring,4,2021,April,Q2
ORD-1064,2021-07-10,2021-07-12,Same Day,CUST-8736,Customer_125,Corporate,West,West_State_8,Electronics,Laptops,LG Monitor,10,886.09,0.1,7974.81,4349.63,3625.18,Summer,7,2021,July,Q3
ORD-1065,2024-02-03,2024-02-05,Same Day,CUST-6568,Customer_479,Home Office,Central,Central_State_9,Clothing,Accessories,Formal Trousers,5,212.81,0.1,957.64,642.04,315.6,Winter,2,2024,February,Q1
ORD-1066,2022-07-02,2022-07-09,First Class,CUST-6446,Customer_283,Home Office,Central,Central_State_9,Electronics,Tablets,Canon Camera,16,1331.58,0.25,15978.96,9403.67,6575.29,Summer,7,2022,July,Q3
ORD-1067,2023-02-12,2023-02-16,Same Day,CUST-7246,Customer_198,Home Office,West,West_State_3,Office Supplies,Paper,File Folders,13,32.52,0.2,338.21,140.45,197.76,Winter,2,2023,February,Q1
ORD-1068,2023-10-12,2023-10-13,Second Class,CUST-7717,Customer_446,Consumer,North,North_State_3,Furniture,Desks,Conference Table,15,224.78,0.25,2528.77,1025.09,1503.68,Autumn,10,2023,October,Q4
ORD-1069,2021-06-03,2021-06-07,First Class,CUST-8994,Customer_447,Home Office,South,South_State_9,Office Supplies,Notebooks,Sticky Notes,3,78.88,0.3,165.65,88.29,77.36,Summer,6,2021,June,Q2
ORD-1070,2021-03-15,2021-03-20,Standard Class,CUST-8269,Customer_86,Home Office,West,West_State_5,Electronics,Tablets,Samsung Galaxy,3,792.46,0.0,2377.38,1583.64,793.74,Spring,3,2021,March,Q1
ORD-1071,2021-03-01,2021-03-02,Second Class,CUST-3785,Customer_90,Corporate,North,North_State_2,Office Supplies,Pens,File Folders,12,47.3,0.05,539.22,315.93,223.29,Spring,3,2021,March,Q1
ORD-1072,2024-06-02,2024-06-09,Standard Class,CUST-8622,Customer_462,Home Office,South,South_State_5,Clothing,Trousers,Sport Socks,5,86.44,0.1,388.98,218.16,170.82,Summer,6,2024,June,Q2
ORD-1073,2024-10-19,2024-10-24,Same Day,CUST-5949,Customer_102,Home Office,North,North_State_7,Furniture,Shelves,Executive Chair,10,629.2,0.2,5033.6,3229.61,1803.99,Autumn,10,2024,October,Q4
ORD-1074,2023-09-17,2023-09-18,Same Day,CUST-5497,Customer_5,Home Office,North,North_State_10,Furniture,Desks,Filing Cabinet,10,894.52,0.1,8050.68,3282.09,4768.59,Autumn,9,2023,September,Q3
ORD-1075,2024-11-05,2024-11-12,Second Class,CUST-2591,Customer_463,Home Office,West,West_State_1,Electronics,Tablets,LG Monitor,12,523.76,0.05,5970.86,3685.88,2284.98,Autumn,11,2024,November,Q4
ORD-1076,2022-09-25,2022-10-02,Same Day,CUST-3877,Customer_103,Home Office,North,North_State_3,Clothing,Accessories,Business Shirt,5,58.03,0.1,261.13,134.31,126.82,Autumn,9,2022,September,Q3
ORD-1077,2024-01-10,2024-01-13,First Class,CUST-2886,Customer_240,Corporate,West,West_State_2,Sports,Clothing,Protein Powder,16,175.11,0.1,2521.58,1667.51,854.07,Winter,1,2024,January,Q1
ORD-1078,2021-10-16,2021-10-23,Standard Class,CUST-8451,Customer_189,Corporate,Central,Central_State_5,Furniture,Shelves,Reception Desk,3,743.01,0.0,2229.03,1097.93,1131.1,Autumn,10,2021,October,Q4
ORD-1079,2024-04-12,2024-04-16,Second Class,CUST-2035,Customer_326,Consumer,South,South_State_8,Office Supplies,Paper,A4 Paper Pack,20,81.32,0.3,1138.48,586.09,552.39,Spring,4,2024,April,Q2
ORD-1080,2024-12-06,2024-12-09,Second Class,CUST-7367,Customer_233,Consumer,East,East_State_6,Clothing,Trousers,Business Shirt,10,239.19,0.0,2391.9,1038.13,1353.77,Winter,12,2024,December,Q4
ORD-1081,2024-10-05,2024-10-11,First Class,CUST-1536,Customer_354,Corporate,West,West_State_6,Sports,Nutrition,Fitness Tracker,4,155.05,0.2,496.16,361.54,134.62,Autumn,10,2024,October,Q4
ORD-1082,2022-03-21,2022-03-25,First Class,CUST-4109,Customer_496,Home Office,East,East_State_2,Clothing,Shoes,Formal Trousers,12,148.89,0.15,1518.68,639.66,879.02,Spring,3,2022,March,Q1
ORD-1083,2023-07-21,2023-07-22,Second Class,CUST-2124,Customer_425,Consumer,East,East_State_9,Furniture,Desks,Ergonomic Chair,11,332.68,0.0,3659.48,2471.77,1187.71,Summer,7,2023,July,Q3
ORD-1084,2022-03-01,2022-03-06,First Class,CUST-3858,Customer_57,Consumer,North,North_State_1,Furniture,Tables,Reception Desk,20,152.13,0.0,3042.6,2268.67,773.93,Spring,3,2022,March,Q1
ORD-1085,2021-09-27,2021-09-28,Same Day,CUST-9619,Customer_59,Corporate,Central,Central_State_2,Office Supplies,Paper,File Folders,1,28.07,0.0,28.07,12.47,15.6,Autumn,9,2021,September,Q3
ORD-1086,2023-09-03,2023-09-07,First Class,CUST-8504,Customer_330,Corporate,East,East_State_1,Office Supplies,Notebooks,Notebooks Bundle,17,31.62,0.0,537.54,351.84,185.7,Autumn,9,2023,September,Q3
ORD-1087,2021-05-05,2021-05-09,Second Class,CUST-2076,Customer_65,Home Office,South,South_State_5,Clothing,Shirts,Winter Jacket,15,54.7,0.0,820.5,420.7,399.8,Spring,5,2021,May,Q2
ORD-1088,2024-07-02,2024-07-08,Standard Class,CUST-2874,Customer_437,Home Office,South,South_State_9,Sports,Clothing,Protein Powder,17,74.23,0.3,883.34,540.52,342.82,Summer,7,2024,July,Q3
ORD-1089,2022-03-17,2022-03-21,First Class,CUST-5176,Customer_192,Corporate,North,North_State_3,Clothing,Jackets,Formal Trousers,13,123.2,0.0,1601.6,815.84,785.76,Spring,3,2022,March,Q1
ORD-1090,2024-11-07,2024-11-11,Standard Class,CUST-6400,Customer_344,Corporate,East,East_State_2,Electronics,Laptops,iPhone 15,4,1180.74,0.15,4014.52,2746.41,1268.11,Autumn,11,2024,November,Q4
ORD-1091,2023-04-22,2023-04-25,Same Day,CUST-4674,Customer_434,Home Office,North,North_State_2,Clothing,Shirts,Casual T-Shirt,10,110.33,0.3,772.31,366.43,405.88,Spring,4,2023,April,Q2
ORD-1092,2022-12-19,2022-12-26,Standard Class,CUST-5381,Customer_15,Home Office,North,North_State_3,Sports,Equipment,Running Shoes Pro,8,151.08,0.3,846.05,627.0,219.05,Winter,12,2022,December,Q4
ORD-1093,2022-07-14,2022-07-20,Standard Class,CUST-2503,Customer_383,Consumer,East,East_State_9,Office Supplies,Folders,Sticky Notes,5,57.47,0.2,229.88,97.55,132.33,Summer,7,2022,July,Q3
ORD-1094,2022-03-17,2022-03-21,Second Class,CUST-3579,Customer_387,Corporate,West,West_State_10,Clothing,Shoes,Winter Jacket,10,184.32,0.0,1843.2,1307.14,536.06,Spring,3,2022,March,Q1
ORD-1095,2021-04-12,2021-04-18,Standard Class,CUST-6655,Customer_221,Corporate,South,South_State_2,Electronics,Accessories,Canon Camera,20,802.56,0.1,14446.08,6868.38,7577.7,Spring,4,2021,April,Q2
ORD-1096,2022-08-04,2022-08-10,First Class,CUST-4460,Customer_393,Consumer,North,North_State_3,Sports,Nutrition,Fitness Tracker,8,89.29,0.0,714.32,287.65,426.67,Summer,8,2022,August,Q3
ORD-1097,2022-06-08,2022-06-11,Second Class,CUST-9196,Customer_287,Home Office,South,South_State_6,Office Supplies,Pens,A4 Paper Pack,14,28.18,0.2,315.62,185.08,130.54,Summer,6,2022,June,Q2
ORD-1098,2021-05-28,2021-06-01,Same Day,CUST-5743,Customer_59,Consumer,South,South_State_7,Electronics,Laptops,Sony Headphones,11,969.7,0.2,8533.36,5532.39,3000.97,Spring,5,2021,May,Q2
ORD-1099,2021-02-12,2021-02-15,Same Day,CUST-9584,Customer_41,Home Office,South,South_State_7,Furniture,Desks,Reception Desk,12,216.1,0.0,2593.2,1258.12,1335.08,Winter,2,2021,February,Q1
ORD-1100,2022-09-28,2022-10-04,First Class,CUST-6752,Customer_373,Consumer,West,West_State_3,Office Supplies,Folders,Ballpoint Pens,17,62.49,0.3,743.63,430.18,313.45,Autumn,9,2022,September,Q3
ORD-1101,2022-04-29,2022-04-30,Same Day,CUST-8601,Customer_387,Home Office,West,West_State_10,Furniture,Tables,Bookshelf,5,720.16,0.0,3600.8,1663.57,1937.23,Spring,4,2022,April,Q2
ORD-1102,2024-04-01,2024-04-05,First Class,CUST-5500,Customer_303,Home Office,North,North_State_1,Sports,Nutrition,Jump Rope,11,52.64,0.0,579.04,326.65,252.39,Spring,4,2024,April,Q2
ORD-1103,2022-12-22,2022-12-27,Standard Class,CUST-9307,Customer_197,Consumer,South,South_State_8,Electronics,Accessories,Canon Camera,2,710.92,0.1,1279.66,546.23,733.43,Winter,12,2022,December,Q4
ORD-1104,2024-04-03,2024-04-08,Same Day,CUST-2695,Customer_416,Corporate,West,West_State_6,Electronics,Cameras,LG Monitor,20,844.54,0.0,16890.8,12418.16,4472.64,Spring,4,2024,April,Q2
ORD-1105,2021-06-22,2021-06-27,First Class,CUST-7347,Customer_210,Corporate,South,South_State_6,Furniture,Tables,Executive Chair,17,542.06,0.0,9215.02,4859.67,4355.35,Summer,6,2021,June,Q2
ORD-1106,2024-10-22,2024-10-27,Second Class,CUST-6461,Customer_42,Consumer,North,North_State_10,Electronics,Laptops,Dell Laptop,18,1097.97,0.1,17787.11,8683.64,9103.47,Autumn,10,2024,October,Q4
ORD-1107,2024-09-21,2024-09-23,First Class,CUST-3093,Customer_344,Home Office,West,West_State_9,Office Supplies,Staplers,Sticky Notes,3,38.22,0.2,91.73,57.35,34.38,Autumn,9,2024,September,Q3
ORD-1108,2021-07-11,2021-07-17,Same Day,CUST-4145,Customer_116,Corporate,East,East_State_3,Clothing,Shoes,Sport Socks,10,76.05,0.05,722.48,375.41,347.07,Summer,7,2021,July,Q3
ORD-1109,2021-11-14,2021-11-15,Second Class,CUST-7172,Customer_79,Home Office,Central,Central_State_3,Office Supplies,Pens,File Folders,17,17.83,0.15,257.64,182.08,75.56,Autumn,11,2021,November,Q4
ORD-1110,2022-01-06,2022-01-13,First Class,CUST-8355,Customer_120,Consumer,South,South_State_9,Sports,Shoes,Resistance Bands,14,84.64,0.05,1125.71,832.3,293.41,Winter,1,2022,January,Q1
ORD-1111,2022-05-05,2022-05-08,Same Day,CUST-3655,Customer_419,Corporate,Central,Central_State_4,Clothing,Shoes,Formal Trousers,15,193.89,0.2,2326.68,1340.21,986.47,Spring,5,2022,May,Q2
ORD-1112,2024-05-23,2024-05-25,First Class,CUST-2374,Customer_391,Home Office,North,North_State_3,Office Supplies,Staplers,A4 Paper Pack,4,68.36,0.3,191.41,133.59,57.82,Spring,5,2024,May,Q2
ORD-1113,2022-07-13,2022-07-17,Same Day,CUST-9224,Customer_192,Consumer,East,East_State_4,Sports,Accessories,Dumbbells Set,15,162.69,0.0,2440.35,1330.51,1109.84,Summer,7,2022,July,Q3
ORD-1114,2023-03-02,2023-03-03,Same Day,CUST-3273,Customer_389,Consumer,North,North_State_8,Office Supplies,Pens,Ballpoint Pens,11,74.35,0.0,817.85,338.1,479.75,Spring,3,2023,March,Q1
ORD-1115,2023-07-08,2023-07-13,First Class,CUST-4893,Customer_155,Consumer,North,North_State_2,Electronics,Laptops,iPhone 15,5,936.01,0.3,3276.03,1795.72,1480.31,Summer,7,2023,July,Q3
ORD-1116,2021-04-08,2021-04-10,Standard Class,CUST-9443,Customer_295,Consumer,South,South_State_4,Clothing,Accessories,Casual T-Shirt,4,207.34,0.25,622.02,378.72,243.3,Spring,4,2021,April,Q2
ORD-1117,2021-10-22,2021-10-25,First Class,CUST-2108,Customer_489,Consumer,North,North_State_9,Clothing,Accessories,Business Shirt,19,123.31,0.0,2342.89,1366.42,976.47,Autumn,10,2021,October,Q4
ORD-1118,2024-01-20,2024-01-25,Standard Class,CUST-6850,Customer_404,Corporate,South,South_State_2,Sports,Equipment,Protein Powder,2,125.35,0.15,213.09,104.15,108.94,Winter,1,2024,January,Q1
ORD-1119,2022-12-08,2022-12-10,Same Day,CUST-8840,Customer_324,Corporate,East,East_State_3,Electronics,Phones,Dell Laptop,18,673.18,0.0,12117.24,8368.58,3748.66,Winter,12,2022,December,Q4
ORD-1120,2021-10-04,2021-10-05,Same Day,CUST-9897,Customer_243,Consumer,West,West_State_5,Clothing,Shoes,Business Shirt,7,217.16,0.15,1292.1,938.94,353.16,Autumn,10,2021,October,Q4
ORD-1121,2021-03-16,2021-03-23,Same Day,CUST-8204,Customer_459,Home Office,East,East_State_7,Furniture,Sofas,Bookshelf,11,354.91,0.15,3318.41,1834.86,1483.55,Spring,3,2021,March,Q1
ORD-1122,2022-11-26,2022-11-28,Second Class,CUST-9937,Customer_151,Home Office,North,North_State_6,Clothing,Jackets,Casual T-Shirt,9,200.23,0.2,1441.66,616.49,825.17,Autumn,11,2022,November,Q4
ORD-1123,2021-07-30,2021-07-31,First Class,CUST-8325,Customer_22,Corporate,North,North_State_6,Office Supplies,Folders,Highlighters,20,68.82,0.0,1376.4,882.85,493.55,Summer,7,2021,July,Q3
ORD-1124,2024-06-13,2024-06-17,Second Class,CUST-8179,Customer_18,Home Office,East,East_State_3,Office Supplies,Pens,Highlighters,13,42.25,0.0,549.25,402.86,146.39,Summer,6,2024,June,Q2
ORD-1125,2021-05-18,2021-05-20,First Class,CUST-8273,Customer_391,Consumer,Central,Central_State_2,Office Supplies,Staplers,Sticky Notes,20,26.51,0.25,397.65,291.11,106.54,Spring,5,2021,May,Q2
